customer_id,customer_segment,city
C0001,Premium,Gurugram
C0002,New,Pune
C0003,New,Mumbai
C0004,New,Gurugram
C0005,Premium,Gurugram
C0006,Premium,Hyderabad
C0007,New,Delhi
C0008,New,Mumbai
C0009,New,Delhi
C0010,Premium,Mumbai
C0011,Premium,Hyderabad
C0012,New,Patna
C0013,Premium,Pune
C0014,New,Noida
C0015,Premium,Hyderabad
C0016,Returning,Pune
C0017,New,Mumbai
C0018,Returning,Gurugram
C0019,New,Hyderabad
C0020,New,Bengaluru
C0021,Returning,Pune
C0022,New,Patna
C0023,Premium,Gurugram
C0024,Returning,Gurugram
C0025,Premium,Pune
C0026,Premium,Bengaluru
C0027,Premium,Mumbai
C0028,Premium,Gurugram
C0029,New,Mumbai
C0030,Returning,Gurugram
C0031,New,Gurugram
C0032,Returning,Pune
C0033,Returning,Bengaluru
C0034,New,Bengaluru
C0035,Returning,Mumbai
C0036,Premium,Pune
C0037,Premium,Gurugram
C0038,Premium,Noida
C0039,Premium,Mumbai
C0040,New,Patna
C0041,Returning,Pune
C0042,Premium,Mumbai
C0043,Premium,Bengaluru
C0044,New,Mumbai
C0045,New,Bengaluru
C0046,Returning,Pune
C0047,New,Mumbai
C0048,Premium,Bengaluru
C0049,New,Patna
C0050,Returning,Patna
C0051,New,Pune
C0052,New,Mumbai
C0053,Premium,Pune
C0054,Premium,Hyderabad
C0055,Premium,Hyderabad
C0056,Returning,Mumbai
C0057,New,Patna
C0058,New,Delhi
C0059,New,Noida
C0060,Premium,Noida
C0061,Premium,Hyderabad
C0062,Premium,Gurugram
C0063,Returning,Hyderabad
C0064,Premium,Patna
C0065,Premium,Pune
C0066,Premium,Delhi
C0067,Premium,Gurugram
C0068,Premium,Pune
C0069,Premium,Bengaluru
C0070,New,Pune
C0071,Returning,Noida
C0072,Returning,Delhi
C0073,Premium,Pune
C0074,Premium,Noida
C0075,Premium,Gurugram
C0076,Premium,Pune
C0077,Premium,Mumbai
C0078,New,Bengaluru
C0079,New,Delhi
C0080,Premium,Bengaluru
C0081,Returning,Delhi
C0082,New,Bengaluru
C0083,Returning,Mumbai
C0084,New,Mumbai
C0085,Premium,Gurugram
C0086,New,Patna
C0087,New,Noida
C0088,New,Patna
C0089,Premium,Noida
C0090,Returning,Hyderabad
C0091,New,Mumbai
C0092,Premium,Pune
C0093,Returning,Bengaluru
C0094,Returning,Patna
C0095,New,Mumbai
C0096,New,Gurugram
C0097,Returning,Delhi
C0098,Premium,Mumbai
C0099,Premium,Mumbai
C0100,New,Gurugram
