product_id,category,unit_price
P001,Electronics,1299
P002,Electronics,499
P003,Fashion,799
P004,Home,1599
P005,Beauty,1299
P006,Home,2999
P007,Home,2999
P008,Beauty,1299
P009,Electronics,799
P010,Beauty,1999
P011,Beauty,2499
P012,Beauty,499
P013,Electronics,499
P014,Beauty,1999
P015,Electronics,1299
P016,Home,1299
P017,Beauty,999
P018,Beauty,999
P019,Fashion,2999
P020,Home,799
P021,Beauty,3999
P022,Electronics,499
P023,Electronics,799
P024,Home,999
P025,Beauty,2999
P026,Beauty,1299
P027,Beauty,499
P028,Home,2499
P029,Electronics,2499
P030,Fashion,2999
